obj,loc,p,v,y,m,lat,lon
"р. Айва, г.Красноуральск",Свердловская область,Ионы меди,60.0,2008,11,58.14405373239438,61.07888843661972
"р. Айва, г.Красноуральск",Свердловская область,Ионы марганца,61.0,2008,11,58.14405373239438,61.07888843661972
"р. Пышма, г. Талица",Свердловская область,Взвешенные вещества,53.0,2008,11,58.14405373239438,61.07888843661972
"вдхр. Верхне-Исетское, в районе водозабора г.Екатеринбурга",Свердловская область,Взвешенные вещества,261.0,2008,12,58.14405373239438,61.07888843661972
"р. Исеть, г. Екатеринбург",Свердловская область,Взвешенные вещества,106.0,2008,12,58.14405373239438,61.07888843661972
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,70.0,2008,12,58.14405373239438,61.07888843661972
"р. Пышма, | г. Талица",Свердловская область,Взвешенные вещества,100.0,2008,12,58.14405373239438,61.07888843661972
"р. Айва,  | г. Красноуральск",Свердловская область,Ионы марганца,65.6,2009,1,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,155.0,2009,1,58.14405373239438,61.07888843661972
"р. Лобва, р/п Лобва",Свердловская область,Ионы марганца,73.0,2009,1,58.14405373239438,61.07888843661972
"р. Нейва, г. Невьянск",Свердловская область,Ионы марганца,90.0,2009,1,58.14405373239438,61.07888843661972
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,92.0,2009,1,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Взвешенные вещества,56.0,2009,1,58.14405373239438,61.07888843661972
"р. Салда, выше  | г. Красноуральска",Свердловская область,Ионы марганца,153.0,2009,1,58.14405373239438,61.07888843661972
"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы марганца,61.0,2009,1,58.14405373239438,61.07888843661972
"р. Тагил, г. Верхний Тагил",Свердловская область,Ионы марганца,100.0,2009,1,58.14405373239438,61.07888843661972
"р. Уфа,  | г. Красноуфимск",Свердловская область,Взвешенные вещества,94.0,2009,1,58.14405373239438,61.07888843661972
"вдхр. Верхне-Исетское,  в районе водозабора  | г. Екатеринбурга ",Свердловская область,Взвешенные вещества,107.0,2009,2,58.14405373239438,61.07888843661972
"р. Айва,  | г. Красноуральск",Свердловская область,Ионы марганца,79.0,2009,2,58.14405373239438,61.07888843661972
"р. Ирбит, г. Ирбит",Свердловская область,Ионы марганца,59.0,2009,2,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,149.0,2009,2,58.14405373239438,61.07888843661972
"р. Нейва, |  г. Невьянск",Свердловская область,Ионы марганца,64.0,2009,2,58.14405373239438,61.07888843661972
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,93.0,2009,2,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,65.0,2009,2,58.14405373239438,61.07888843661972
"р. Тагил,  | г. Верхний Тагил",Свердловская область,Ионы марганца,72.0,2009,2,58.14405373239438,61.07888843661972
"р. Уфа,  | г. Красноуфимск",Свердловская область,Взвешенные вещества,62.0,2009,2,58.14405373239438,61.07888843661972
"вдхр. В.-Исетское, в районе водозабора г. Екатеринбурга ",Свердловская область,Взвешенные вещества,94.0,2009,3,58.14405373239438,61.07888843661972
"р. Айва,  | г. Красноуральск",Свердловская область,Ионы марганца,54.0,2009,3,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Азот нитритный,81.0,2009,3,58.14405373239438,61.07888843661972
"р. Исеть,  | д. Колюткино",Свердловская область,Азот нитритный,50.0,2009,3,58.14405373239438,61.07888843661972
"р. Лая, г. Красноуральск",Свердловская область,Ионы марганца,67.0,2009,3,58.14405373239438,61.07888843661972
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,69.0,2009,3,58.14405373239438,61.07888843661972
"р. Патрушиха, г. Екатеринбург",Свердловская область,Ионы марганца,54.0,2009,3,58.14405373239438,61.07888843661972
"р. Пышма, |  г. Березовский",Свердловская область,Азот нитритный,92.0,2009,3,58.14405373239438,61.07888843661972
"р. Тагил, г. Верхний Тагил",Свердловская область,Ионы марганца,63.0,2009,3,58.14405373239438,61.07888843661972
"р. Уфа,  | г. Красноуфимск",Свердловская область,Взвешенные вещества,54.0,2009,3,58.14405373239438,61.07888843661972
"р. Айва, 18,6 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,52.0,2009,11,58.14405373239438,61.07888843661972
"р. Айва, 22,9 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,67.0,2009,11,58.14405373239438,61.07888843661972
"р. Лая, 15,1 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,53.0,2009,11,58.14405373239438,61.07888843661972
"р. Лая, 21.1 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,75.0,2009,11,58.14405373239438,61.07888843661972
"р. Лая, 22,5 км выше устья, г.Красноуральск",Свердловская область,Ионы меди,58.0,2009,11,58.14405373239438,61.07888843661972
"р. Исеть, 522,3 км выше устья, пос. Двуреченск",Свердловская область,Взвешенные вещества,167.0,2009,11,58.14405373239438,61.07888843661972
"р. Исеть, 523.8 км выше устья, пос. Двуреченск",Свердловская область,Взвешенные вещества,180.0,2009,11,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,248.0,2009,11,58.14405373239438,61.07888843661972
"р. Исеть,  | д. Колюткино",Свердловская область,Взвешенные вещества,211.0,2009,11,58.14405373239438,61.07888843661972
"р. Турья,  | г. Краснотурьинск",Свердловская область,Взвешенные вещества,71.0,2009,11,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,297.0,2009,12,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Взвешенные вещества,73.0,2009,12,58.14405373239438,61.07888843661972
"р. Тура, г. Туринск",Свердловская область,Взвешенные вещества,86.0,2009,12,58.14405373239438,61.07888843661972
"р. Чусовая,  | г. Первоуральск",Свердловская область,Взвешенные вещества,58.0,2009,12,58.14405373239438,61.07888843661972
"р. Чусовая,  | рп. Староуткинск",Свердловская область,Ионы марганца,55.0,2009,12,58.14405373239438,61.07888843661972
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,53.0,2010,1,58.14405373239438,61.07888843661972
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,72.0,2010,1,58.14405373239438,61.07888843661972
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,55.0,2010,1,58.14405373239438,61.07888843661972
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,120.0,2010,1,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,90.0,2010,1,58.14405373239438,61.07888843661972
"р. Тура,  | д. Тимофеево",Свердловская область,Ионы марганца,66.0,2010,1,58.14405373239438,61.07888843661972
"р. Ирбит, г. Ирбит",Свердловская область,Ионы марганца,72.0,2010,2,58.14405373239438,61.07888843661972
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,52.0,2010,2,58.14405373239438,61.07888843661972
"р. Лая, 15,1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,78.0,2010,2,58.14405373239438,61.07888843661972
"р. Лая, 22,5 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,61.0,2010,2,58.14405373239438,61.07888843661972
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,63.0,2010,2,58.14405373239438,61.07888843661972
"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,80.0,2010,2,58.14405373239438,61.07888843661972
"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,110.0,2010,2,58.14405373239438,61.07888843661972
"р. Тавда, г. Тавда",Свердловская область,Ионы марганца,57.0,2010,2,58.14405373239438,61.07888843661972
"р. Тура,  | д. Тимофеево",Свердловская область,Ионы марганца,59.0,2010,2,58.14405373239438,61.07888843661972
