,0,1,2,3,4,y,m
4,1,"р. Айва, г.Красноуральск",Свердловская область,Ионы меди,60.0,2008,11
7,3,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,55.0,2008,11
8,4,"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,107.0,2008,11
10,5,"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,61.0,2008,11
13,1,"р. Айва, г.Красноуральск",Свердловская область,Ионы марганца,61.0,2008,11
15,2,р. Вильва в районе автодорожного моста  Чусовой-Губаха,Пермский край,Ионы железа общего,73.0,2008,11
16,3,"р. Вишера,  | г. Красновишерск",Пермский край,Взвешенные вещества,147.0,2008,11
18,5,"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,152.0,2008,11
19,6,"р. Косьва, д. Кунья",Пермский край,Ионы железа общего,58.0,2008,11
21,8,"р. Пышма, г. Талица",Свердловская область,Взвешенные вещества,53.0,2008,11
22,9,"р. Северная Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,234.0,2008,11
24,10,"р.Кизел, г.Кизел в районе автодорожного моста Губаха-Александровск",Пермский край,Ионы железа общего,1010.0,2008,11
2,1,"р. Чапаевка,  | г. Чапаевск",Самарская область,Гексахлорциклогексан (ГХЦГ),6.0,2008,12
5,1,"р. Блява,  | г. Медногорск",Оренбургская область,Ионы меди,122.0,2008,12
9,1,"вдхр. Верхне-Исетское, в районе водозабора г.Екатеринбурга",Свердловская область,Взвешенные вещества,261.0,2008,12
10,2,р. Вильва в районе автодо-рожного моста трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,88.0,2008,12
11,3,"р. Исеть, г. Екатеринбург",Свердловская область,Взвешенные вещества,106.0,2008,12
12,4,"р. Кизел, г. Кизел у автодорожного моста Губаха-Александровск",Пермский край,Ионы железа общего,1050.0,2008,12
14,5,"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,70.0,2008,12
16,7,"р. Пышма, | г. Талица",Свердловская область,Взвешенные вещества,100.0,2008,12
17,8,"р. Сев. Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,226.0,2008,12
19,9,"р. Хауки-Лампи-Йоки,  | г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2008,12
2,1,"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы ртути,11.0,2009,01
3,2,"р. Хауки-лампи-йоки,  | г. Заполярный",Мурманская область,Ионы ртути,8.0,2009,01
7,3,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,52.0,2009,01
8,4,"р. Пельшма, г. Сокол",Вологодская область,Фенолы,60.0,2009,01
10,1,"р. Айва,  | г. Красноуральск",Свердловская область,Ионы марганца,65.6,2009,01
11,2,р. Вильва - автодорожный мост трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,308.0,2009,01
12,3,"р. Дачная, устье",Приморский край,БПК | 5,38.0,2009,01
14,4,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,155.0,2009,01
15,5,"р. Кизел, г. Кизел в районе автодорожного моста Губаха-Александровск",Пермский край,Ионы железа общего,2990.0,2009,01
17,6,"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,99.0,2009,01
18,7,"р. Лобва, р/п Лобва",Свердловская область,Ионы марганца,73.0,2009,01
19,8,"р. Нейва, г. Невьянск",Свердловская область,Ионы марганца,90.0,2009,01
20,9,"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,92.0,2009,01
21,10,"р. Пельшма, г. Сокол",Вологодская область,БПК | 5,20.0,2009,01
24,12,"р. Пышма,  | г. Березовский",Свердловская область,Взвешенные вещества,56.0,2009,01
26,13,"р. Салда, выше  | г. Красноуральска",Свердловская область,Ионы марганца,153.0,2009,01
27,14,"р. Салда,  | д. Прокопьевская Салда",Свердловская область,Ионы марганца,61.0,2009,01
28,15,"р. Северная Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,321.0,2009,01
30,16,"р. Тагил, г. Верхний Тагил",Свердловская область,Ионы марганца,100.0,2009,01
32,18,"р. Уфа,  | г. Красноуфимск",Свердловская область,Взвешенные вещества,94.0,2009,01
2,1,"р. Хауки-лампи-йоки, |  г. Заполярный",Мурманская область,Ионы ртути,13.0,2009,02
4,1,"р. Блява,  | г. Медногорск",Оренбургская область,Ионы меди,126.0,2009,02
7,4,"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,64.0,2009,02
8,5,"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,54.0,2009,02
9,6,"р. Пельшма,  | г. Сокол",Вологодская область,Фенолы,83.0,2009,02
11,1,"вдхр. Верхне-Исетское,  в районе водозабора  | г. Екатеринбурга ",Свердловская область,Взвешенные вещества,107.0,2009,02
13,2,"р. Айва,  | г. Красноуральск",Свердловская область,Ионы марганца,79.0,2009,02
15,4,"р. Безенчук, устье",Самарская область,Ионы марганца,115.0,2009,02
16,5,р. Вильва  в районе автодорожного моста Чусовой-Губаха,Пермский край,Ионы железа общего,339.0,2009,02
18,6,"р. Ирбит, г. Ирбит",Свердловская область,Ионы марганца,59.0,2009,02
19,7,"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,149.0,2009,02
22,9,"р. Косьва,  | г. Губаха",Пермский край,Ионы железа общего,141.0,2009,02
23,10,"р. Красносель-ская, г. Южно-Сахалинск",Сахалинская область,Азот нитритный,72.0,2009,02
24,11,"р. Лысьва,  | г. Лысьва",Пермский край,Взвешенные вещества,69.0,2009,02
25,12,"р. Нама-Йоки,  | п. Луостари",Мурманская область,Дитиофосфат крезиловый,60.0,2009,02
26,13,"р. Нейва, |  г. Невьянск",Свердловская область,Ионы марганца,64.0,2009,02
29,16,"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,93.0,2009,02
