obj,loc,p,v,y,m
"р. Айва, г.Красноуральск",Свердловская область,Ионы меди,60.0,2008,11
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,55.0,2008,11
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,107.0,2008,11
"р. Охинка, г. Оха",Сахалинская область,Нефтепродукты,61.0,2008,11
"р. Айва, г.Красноуральск",Свердловская область,Ионы марганца,61.0,2008,11
р. Вильва в районе автодорожного моста  Чусовой-Губаха,Пермский край,Ионы железа общего,73.0,2008,11
"р. Вишера,  | г. Красновишерск",Пермский край,Взвешенные вещества,147.0,2008,11
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,152.0,2008,11
"р. Косьва, д. Кунья",Пермский край,Ионы железа общего,58.0,2008,11
"р. Пышма, г. Талица",Свердловская область,Взвешенные вещества,53.0,2008,11
"р. Северная Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,234.0,2008,11
"р.Кизел, г.Кизел в районе автодорожного моста Губаха-Александровск",Пермский край,Ионы железа общего,1010.0,2008,11
"р. Чапаевка,  | г. Чапаевск",Самарская область,Гексахлорциклогексан (ГХЦГ),6.0,2008,12
"р. Блява,  | г. Медногорск",Оренбургская область,Ионы меди,122.0,2008,12
"вдхр. Верхне-Исетское, в районе водозабора г.Екатеринбурга",Свердловская область,Взвешенные вещества,261.0,2008,12
р. Вильва в районе автодо-рожного моста трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,88.0,2008,12
"р. Исеть, г. Екатеринбург",Свердловская область,Взвешенные вещества,106.0,2008,12
"р. Кизел, г. Кизел у автодорожного моста Губаха-Александровск",Пермский край,Ионы железа общего,1050.0,2008,12
"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,70.0,2008,12
"р. Пышма, | г. Талица",Свердловская область,Взвешенные вещества,100.0,2008,12
"р. Сев. Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,226.0,2008,12
"р. Хауки-Лампи-Йоки,  | г. Заполярный",Мурманская область,Дитиофосфат крезиловый,50.0,2008,12
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы ртути,11.0,2009,1
"р. Хауки-лампи-йоки,  | г. Заполярный",Мурманская область,Ионы ртути,8.0,2009,1
"р. Колос-Йоки,  | п. Никель",Мурманская область,Ионы никеля,52.0,2009,1
"р. Пельшма, г. Сокол",Вологодская область,Фенолы,60.0,2009,1
"р. Айва,  | г. Красноуральск",Свердловская область,Ионы марганца,65.6,2009,1
р. Вильва - автодорожный мост трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,308.0,2009,1
"р. Дачная, устье",Приморский край,БПК | 5,38.0,2009,1
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,155.0,2009,1
